workingLocations,job_major,January,February,March,April_Prediction,April_Model_Prediction
An Giang,Bảo hiểm,0.0,1.0,0.0,1,1
An Giang,Bất Động Sản/Cho thuê,2.0,0.0,0.0,2,2
An Giang,Dược phẩm,1.0,0.0,0.0,2,2
An Giang,Dệt may/May mặc/Giày dép,2.0,0.0,0.0,2,2
An Giang,Ngân hàng,1.0,0.0,0.0,1,1
An Giang,Nông nghiệp/Lâm nghiệp/Nuôi trồng thủy sản,1.0,0.0,0.0,1,1
Bà Rịa-Vũng Tàu,Bán lẻ/Bán sỉ,2.0,2.0,0.0,2,2
Bà Rịa-Vũng Tàu,Bảo hiểm,0.0,0.0,2.0,2,2
Bà Rịa-Vũng Tàu,Bất Động Sản/Cho thuê,4.0,0.0,6.0,5,6
Bà Rịa-Vũng Tàu,Cơ khí/Máy móc/Thiết bị công nghiệp,4.0,0.0,4.0,5,5
Bà Rịa-Vũng Tàu,Dệt may/May mặc/Giày dép,6.0,0.0,0.0,5,5
Bà Rịa-Vũng Tàu,Dịch vụ Y tế/Chăm sóc sức khỏe,2.0,0.0,0.0,3,3
Bà Rịa-Vũng Tàu,Dịch vụ kho bãi,2.0,0.0,0.0,3,3
Bà Rịa-Vũng Tàu,Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch,2.0,0.0,2.0,2,2
Bà Rịa-Vũng Tàu,Dịch vụ môi trường/Chất thải,0.0,2.0,2.0,3,3
Bà Rịa-Vũng Tàu,Giáo dục/Đào Tạo,10.0,0.0,0.0,16,14
Bà Rịa-Vũng Tàu,Hoá chất/Hoá sinh,8.0,0.0,0.0,10,10
Bà Rịa-Vũng Tàu,Hàng tiêu dùng,22.0,0.0,6.0,26,27
Bà Rịa-Vũng Tàu,Hậu cần/Giao nhận,2.0,0.0,12.0,19,19
Bà Rịa-Vũng Tàu,Hệ thống CNTT & Thiết bị,4.0,0.0,0.0,6,6
Bà Rịa-Vũng Tàu,Khai khoáng/Dầu khí,6.0,0.0,0.0,5,6
Bà Rịa-Vũng Tàu,Kỹ thuật xây dựng/Cơ sở hạ tầng,28.0,0.0,0.0,45,40
Bà Rịa-Vũng Tàu,Ngân hàng,10.0,0.0,2.0,12,13
Bà Rịa-Vũng Tàu,Nhựa & Cao su,4.0,0.0,0.0,3,5
Bà Rịa-Vũng Tàu,Nông nghiệp/Lâm nghiệp/Nuôi trồng thủy sản,0.0,0.0,2.0,2,2
Bà Rịa-Vũng Tàu,Nội thất/Gỗ,4.0,0.0,0.0,5,5
Bà Rịa-Vũng Tàu,Sản xuất,46.0,8.0,12.0,55,53
Bà Rịa-Vũng Tàu,Sản xuất và Phân phối Điện/Khí đốt/Nước,4.0,0.0,0.0,5,5
Bà Rịa-Vũng Tàu,Tự động hoá,8.0,0.0,0.0,13,12
Bà Rịa-Vũng Tàu,Ô tô,4.0,0.0,0.0,5,5
Bà Rịa-Vũng Tàu,Điện/Điện tử,0.0,8.0,2.0,10,10
Bình Dương,Bao bì/In ấn/Dán nhãn,4.0,1.0,0.0,3,4
Bình Dương,Bán lẻ/Bán sỉ,4.0,2.0,3.0,5,5
Bình Dương,Bảo hiểm,0.0,1.0,0.0,1,1
Bình Dương,Bất Động Sản/Cho thuê,3.0,1.0,4.0,4,4
Bình Dương,Chuỗi cung ứng,1.0,0.0,1.0,2,2
Bình Dương,Cơ khí/Máy móc/Thiết bị công nghiệp,11.0,1.0,7.0,13,14
Bình Dương,Dược phẩm,6.0,0.0,2.0,10,9
Bình Dương,Dệt may/May mặc/Giày dép,3.0,1.0,2.0,2,2
